2026-08-15 21:17:47.442 INFO   Freerouting v2.3.0 (build-date: 2026-08-07)
2026-08-15 21:17:47.454 DEBUG  [startup] user-data path : C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\freerouting-run-pass2  (source: CLI argument --user_data_path)
2026-08-15 21:17:47.454 DEBUG  [startup] log file       : C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\freerouting-run-pass2\freerouting.log
2026-08-15 21:17:47.455 DEBUG  No freerouting.json found at 'C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\freerouting-run-pass2\freerouting.json' — will create one with default settings.
2026-08-15 21:17:47.499 DEBUG  Default settings saved to 'C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\freerouting-run-pass2\freerouting.json'.
2026-08-15 21:17:47.499 DEBUG  Version: 2.3.0,2026-08-07
2026-08-15 21:17:47.499 DEBUG  Command line arguments: '-de C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\pcb-hmd-carrier-board2-routing-copy.dsn+C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\pcb-hmd-carrier-board2.ses -do C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\pcb-hmd-carrier-board2-pass2.ses -mp 1 -mt 0 --router.fanout.enabled=false --router.optimizer.enabled=false --router.layers.routable=true,false,true,true,false,true --router.layers.preferred_direction_horizontal=true,false,false,true,false,true --api_server.enabled=false --gui.enabled=false --logging.console.level=INFO --user_data_path=C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\freerouting-run-pass2 -l en'
2026-08-15 21:17:47.500 DEBUG  Architecture: Windows 11,amd64,10.0
2026-08-15 21:17:47.500 DEBUG  Java: 25.0.4,Eclipse Adoptium
2026-08-15 21:17:47.500 DEBUG  System Language: fr,fr_FR
2026-08-15 21:17:47.500 DEBUG  Hardware: 12 CPU cores,4044 MB RAM
2026-08-15 21:17:47.500 DEBUG  UTC Time: 2026-08-15T19:17:47.499516Z
2026-08-15 21:17:47.502 DEBUG  GUI Language: en
2026-08-15 21:17:47.502 DEBUG  Host: N/A
2026-08-15 21:17:48.553 DEBUG  Loaded router settings from: C:\Users\jfran\Documents\GitHub\H.265-SVRT\design\electrical\pcb-hmd-carrier-board\output\production-audit\freerouting-run-pass2\freerouting.json
2026-08-15 21:17:48.554 DEBUG  Applied CLI router setting: router.max_passes = 1
2026-08-15 21:17:48.554 DEBUG  Applied CLI router setting: router.max_threads = 0
2026-08-15 21:17:48.554 DEBUG  Applied CLI router setting: router.fanout.enabled = false
2026-08-15 21:17:48.554 DEBUG  Applied CLI router setting: router.optimizer.enabled = false
2026-08-15 21:17:48.554 DEBUG  Applied CLI router setting: router.layers.routable = true,false,true,true,false,true
2026-08-15 21:17:48.554 DEBUG  Applied CLI router setting: router.layers.preferred_direction_horizontal = true,false,false,true,false,true
2026-08-15 21:17:48.554 DEBUG  Applied CLI router setting: router.enabled = true (implicit from -de/-do batch mode)
2026-08-15 21:17:48.555 DEBUG  No router settings found in environment variables
2026-08-15 21:17:48.609 DEBUG  Set DEFAULT clearance (all layers): 1500 (0.0375 mm) from DSN value 150.0
2026-08-15 21:17:48.614 DEBUG  Set clearance (all layers): smd_smd = 375 (0.009375 mm), classes [2,2]
